,Adelie,Chinstrap,Gentoo,accuracy,macro avg,weighted avg
precision,0.896551724137931,0.8333333333333334,1.0,0.9253731343283582,0.9099616858237548,0.9244295762566479
recall,0.9285714285714286,0.7692307692307693,1.0,0.9253731343283582,0.8992673992673993,0.9253731343283582
f1-score,0.9122807017543859,0.8,1.0,0.9253731343283582,0.904093567251462,0.924535218643624
support,28.0,13.0,26.0,0.9253731343283582,67.0,67.0
